gene	neglog10p
POLR3B	6.698970004336019
RNA5SP144	6.698970004336019
ADD1	6.522878745280337
CACNA1B	6.522878745280337
NGEF	6.522878745280337
AREL1	6.522878745280337
PGS1	6.522878745280337
FAM136FP	6.3979400086720375
MTND1P24	6.3979400086720375
NUP50P4	6.3979400086720375
PRSS53	6.3979400086720375
ZNF646	6.3979400086720375
PSMA6P4	6.301029995663981
RBX1	6.301029995663981
RPL7AP61	6.301029995663981
PAX7	6.301029995663981
POM121L2	6.301029995663981
TAS1R2	6.301029995663981
CDCA7P1	6.301029995663981
LINC01127	6.301029995663981
GBA1LP	6.221848749616356
1326P	6.221848749616356
TMPRSS9	6.221848749616356
COL13A1	6.221848749616356
WDR1	6.096910013008056
CNKSR3	6.045757490560675
ZNF24TR	6.0
AS3MT	6.0
MDGA2	6.0
LSAMP	6.0
IGSF11	6.0
FDFT1	6.0
MUC1	6.0
MROH3P	6.0
MRPS30	6.0
EFNB1	6.0
RORB	6.0
RPA2P1	6.0
RPL7AP67	6.0
WNT9A	6.0
PJA1	6.0
