gene	log2fc	pval
PROSER2	2.4	0.0066608
KDM4B	2.44	0.0066655
SUSD2	-2.42	0.0066715
CLEC7A	2.53	0.0066797
UBE2NL	2.32	0.0067095
SPDEF	2.59	0.0067218
TP53AIP1	2.36	0.0067419
HGD	3.07	0.0067801
PDE5A	-2.86	0.0067808
SLC39A8	2.36	0.0067824
HCN1	2.51	0.0067845
LOC101929114	2.48	0.0067868
CD37	2.73	0.0067868
TJP2	2.5	0.0068018
CLTB	2.29	0.0068041
SP2	-2.68	0.0068248
LOC101928626	2.42	0.0069303
TMEM67	2.78	0.0069427
SUGT1P1	-2.82	0.0069782
LIMD1	-2.51	0.0069993
NOS2	2.52	0.0070163
VEPH1	-2.41	0.0070623
EHBP1L1	-2.37	0.007065
KLK2	-2.45	0.007082
PITPNM2	2.47	0.0071002
DEFA5	3.06	0.0071092
MAP2K7	3.22	0.0071094
ASMTL-AS1	2.62	0.0071259
BCL11B	4.52	0.0071287
DEFB1	3.27	0.0071353
HP09025	2.39	0.0071441
ZNRD1	4.22	0.0071475
LINC01281	-3.38	0.0071531
MAPRE2	2.42	0.0072286
KRTAP4-4	4.55	0.0072309
ANKRD24	3.65	0.0072541
KIRREL	2.69	0.0073206
LOC102724587	3.53	0.0073402
ERICH1-AS1	-2.77	0.007343
GGACT	3.67	0.0073504
PRKAA2	3.08	0.0073607
SYCP1	2.76	0.0074039
GGNBP2	-2.42	0.0074556
DDX42	4.43	0.0074602
IGKC	2.81	0.007462
NOBOX	3.2	0.0074814
RPS8	-3.1	0.0074835
CFAP58	-2.26	0.0075074
TBX20	-2.34	0.0075223
OFCC1	-2.61	0.0075228
LOC100128281	3.42	0.0075317
GADL1	-2.82	0.0075483
LOC100288590	3.23	0.0075573
COL1A2	-2.72	0.0075671
LOC200609	2.43	0.0076047
C12ORF54	2.6	0.0076149
ACTG2	-2.41	0.007618
POLQ	-2.25	0.0076337
TMCO4	-2.54	0.0076363
MROH2B	3.13	0.0076525
SARS2	2.25	0.0076536
RPRD1B	2.85	0.0076938
RFPL1	-2.76	0.0077244
CTGF	-3.09	0.0077476
ATP1A4	2.52	0.0077537
MGA	3.06	0.007763
ITGA9-AS1	-2.68	0.0078343
ENO1	2.2	0.0078998
LOC338667	2.95	0.007916
CECR5-AS1	2.72	0.0079498
CYMP	2.48	0.0079607
RIIAD1	2.45	0.0079857
CAPS	-2.19	0.0079934
PTPRJ	-2.87	0.008017
FBXL21	2.26	0.0080269
ZNF81	3.11	0.0080986
B4GALNT3	2.2	0.0080986
C17ORF74	4.67	0.0080996
CREBBP	2.79	0.0081089
TPBGL	2.23	0.0081157
UHRF1BP1L	2.21	0.0081214
KRT5	-2.6	0.0081313
CLASP2	3.87	0.0081415
F2RL2	-2.82	0.0081463
ZNF671	2.36	0.0081494
IFNG	2.48	0.0081708
ST8SIA1	2.24	0.0082158
TAS2R40	2.36	0.0082532
LOC101928727	3.2	0.0082606
LARP4B	-3.0	0.0082743
C9ORF3	-2.35	0.0082887
LINC01514	2.44	0.0082957
TKTL1	-2.67	0.0083155
HORMAD2	2.22	0.008318
NCR2	2.4	0.0083277
OTUB2	2.3	0.0083392
FOXP3	4.0	0.0083961
GAL3ST2	-3.53	0.0083969
LINC01091	3.09	0.0084088
ELF3	2.93	0.0084645
LINC00662	2.5	0.0084775
OR2H1	2.92	0.0085538
LOC100505710	3.03	0.0086049
LOC100507560	2.18	0.0086074
TMEM87A	4.56	0.0086087
OK/SW-CL.58	2.36	0.0086389
LOC339593	-2.25	0.0086753
TMEM158	3.4	0.0086868
SERPINB3	2.79	0.00869
LOC441242	-2.61	0.0087314
CDC34	2.34	0.0087867
LOC100130370	-2.4	0.0087873
PCDHGA10	3.28	0.0087893
XPO5	3.04	0.008793
NGLY1	2.22	0.0088059
ZBTB17	2.27	0.0088061
LINC01127	-3.7	0.008823
ROS1	-2.54	0.0088402
NFIA-AS2	2.21	0.0088722
CCDC102A	-2.27	0.008884
LOC100653086	-2.17	0.0088864
SLC2A13	2.94	0.0088885
ZNF584	-2.96	0.0088905
PRR7-AS1	-2.43	0.0089102
TRPC4	-2.22	0.008918
LINC00334	2.24	0.0089184
SNX32	2.87	0.0089223
RHD	-2.56	0.0089338
GPBAR1	-2.73	0.008952
CANT1	-2.45	0.0089552
ADORA2B	2.23	0.0089626
AGTR1	-2.25	0.0089789
TRHDE-AS1	3.04	0.0089847
TRNAU1AP	2.83	0.0089861
ART4	3.83	0.0089876
THBS1	3.49	0.0089931
DCAF6	3.28	0.009008
ADIRF	-2.68	0.0090727
TNFRSF10D	2.4	0.0090795
LOC101928135	2.42	0.0090906
LOC401220	4.44	0.0091061
NAA30	3.23	0.0091642
ABCA4	2.51	0.0092257
LINC00488	-3.3	0.0092692
IL37	-2.21	0.0092842
CNN1	-3.69	0.0093
ULBP2	2.11	0.0093357
APOBR	2.58	0.0093593
