gene	log2fc	pval
LINC00210	0.383	0.7810492
CUTC	-0.144	0.7810631
OSTC	0.144	0.7811658
PF4	-0.547	0.7812145
MPP5	0.188	0.7812147
CTNNBIP1	-0.191	0.7812524
WFDC13	0.297	0.7813694
LOC101929154	-0.302	0.7814294
GPC5	-0.227	0.7815367
ZNF14	0.14	0.7816455
APOL3	0.14	0.7816897
OR8B2	-0.201	0.7816932
SEPT8	-0.19	0.7817952
FCRLB	-0.613	0.7820449
FLII	0.168	0.782279
LOC100505564	-0.191	0.7823679
ATP6V1E2	0.138	0.782382
THEG5	-0.191	0.782471
ORAI3	0.139	0.7826072
FLJ37201	-0.362	0.7826399
C14ORF169	-0.186	0.7827153
PIP	0.235	0.7828316
ABT1	-0.134	0.7828803
CRYAA	-0.338	0.7829154
RAB33B	-0.142	0.7829246
TEX14	-0.189	0.7829863
LINC01468	-0.548	0.7829972
PCDHA9	0.236	0.7830771
ROBO1	0.187	0.7831616
EDN2	-0.375	0.7831839
KNSTRN	0.146	0.7832295
ZNF16	0.156	0.7832762
PI4KB	-0.151	0.7833287
C19ORF81	-0.166	0.783335
FLJ22763	-0.577	0.7834004
REM1	0.264	0.7837253
LINC00189	-0.366	0.7838323
GRIA4	0.345	0.7840786
LOC285638	-0.22	0.7840853
FAM98C	0.146	0.7841053
ATF7IP2	0.146	0.7841267
SNX3	-0.142	0.7843728
MRPS28	-0.135	0.7844087
USP1	0.168	0.7844149
LOC100128343	0.196	0.7844857
UBR1	-0.14	0.7845505
SYNE4	-0.188	0.7845882
LOC285819	-0.146	0.7846455
LOC100287525	-0.206	0.7846654
GRHPR	0.165	0.7846799
PTPN23	0.3	0.7847205
LOC101928809	0.588	0.7847461
CNTFR	-0.193	0.7847901
CD151	-0.172	0.7848042
LINGO2	-0.194	0.7849891
LOC105379045	0.143	0.7851931
HP	-0.278	0.7852218
LOC283214	-0.205	0.7852486
HSD3B2	0.166	0.7852637
VWA5A	-0.161	0.7853071
PGBD4	0.186	0.7854218
PSMD8	-0.14	0.785445
S100A7	0.153	0.7855871
TSPYL2	0.169	0.7858175
TCEAL4	0.145	0.7858344
ATAD3A	0.233	0.7859777
LOC100996694	-0.275	0.785992
KIAA1586	-0.148	0.7860578
BCAS2	0.139	0.786079
C19ORF66	-0.133	0.7861398
ARL8B	0.143	0.7863494
IKBKG	-0.149	0.7868016
WRN	-0.148	0.7868084
GZMB	0.286	0.787
CCDC26	0.457	0.7870352
PNMAL1	0.199	0.7870648
PMS2P2	-0.165	0.787089
FLJ41455	0.249	0.7871503
LOC101927907	-0.23	0.7872053
LIPI	0.313	0.7872063
RPS6KC1	-0.138	0.7873065
SRGAP2	0.196	0.7873564
GBP2	-0.272	0.7874275
FAM110C	-0.161	0.7875208
MDH1	0.176	0.7875847
ZDHHC20	0.144	0.7877957
PP2672	0.133	0.7878023
ZNF541	0.312	0.7878208
RPS18	-0.135	0.7879244
LILRA4	-0.202	0.7880935
H2BFS	-0.223	0.7881534
GPT	0.147	0.7881543
PAX5	-0.218	0.7881987
NADK2-AS1	0.462	0.7882925
LOC101929660	-0.645	0.7883086
TUBG1	0.152	0.7886302
C1ORF112	-0.186	0.7886681
RAD51AP1	0.174	0.788795
SNRPG	0.133	0.7888016
FAM198A	-0.154	0.7888584
MTERF1	0.135	0.7889067
LINC00518	-0.43	0.7889234
MMP26	0.345	0.7890208
LOC100507006	0.153	0.7890805
PRRT3	-0.188	0.7890906
FGL1	0.176	0.7891062
FAS-AS1	-0.224	0.7892641
ANKRD26	-0.181	0.7893001
LOC100127974	-0.418	0.7893459
SLC38A3	-0.206	0.7893937
LINC00244	-0.439	0.7894825
FBP1	-0.204	0.7894972
A1CF	0.241	0.7897129
ANHX	0.268	0.7897453
IL34	-0.379	0.7898558
LOC101928673	0.268	0.789995
LOC102724809	-0.457	0.790008
PITPNA	0.13	0.7901864
ACTL7B	0.448	0.7901886
FAM234A	-0.138	0.7902573
PSMC3	0.143	0.7903529
ZMYND10	-0.423	0.7904455
STRIP1	-0.161	0.7904689
LOC100132167	-0.139	0.7907696
CBX7	0.167	0.7907781
MAGEA1	-0.473	0.7909692
TPSG1	-0.159	0.7914945
RNF13	0.154	0.7914961
EIF2B3	0.16	0.7915359
DDX11L2	0.168	0.7915693
ZNF185	-0.185	0.7917433
ATP12A	-0.32	0.7919194
SPRR4	-0.16	0.7919559
ACTL6A	-0.181	0.7920116
FBXW9	0.132	0.7920425
MYCBP2	-0.189	0.7920581
CREB3L3	0.237	0.7921285
HSPA12A	-0.423	0.7921436
PXN-AS1	-0.627	0.7921488
DIP2B	0.144	0.7921939
FZD5	-0.195	0.7922175
SMTN	-0.457	0.7923111
SMAD7	-0.131	0.7923955
RASSF10	-0.515	0.7925998
FNIP2	0.13	0.7927449
BAMBI	-0.131	0.79282
MFN1	-0.143	0.7928566
LINC01526	-0.135	0.7929115
APOBEC2	0.148	0.7929547
PRR34-AS1	-0.156	0.7930082
CPSF3L	-0.339	0.7936048
LOC152274	0.4	0.7936877
HTATSF1	0.155	0.793737
LOC101927516	0.341	0.7937525
TMEM101	-0.212	0.7937705
C7ORF43	-0.38	0.7938306
CCDC96	-0.334	0.7938389
CXORF38	-0.159	0.7938529
LOC101928284	-0.34	0.7939181
FRG1EP	-0.17	0.7940508
SRRM2-AS1	-0.32	0.7940588
LOC400590	0.501	0.7940869
LOC105376796	-0.153	0.7941165
C1QBP	0.138	0.7944572
TMEM186	0.134	0.7946672
RPE65	-0.261	0.7947357
HIST1H4H	-0.272	0.7947565
LINC00317	-0.284	0.795032
PLD2	0.146	0.7951045
MTMR11	0.139	0.7951976
CCR10	0.413	0.7952135
GLRA2	-0.267	0.7953008
C1ORF106	0.142	0.795311
MAPKAPK3	-0.178	0.7955375
LOC101928476	-0.19	0.7956749
LIPC-AS1	0.186	0.7957545
LOH12CR2	0.183	0.7957553
FSCN3	0.276	0.7958751
UBAC1	0.141	0.7959252
SLC35G3	-0.353	0.7959395
HSD3B7	0.288	0.7960357
SPINK2	-0.178	0.7963105
MN1	-0.167	0.7963636
FDX1L	0.144	0.7963947
S100A12	-0.287	0.7965414
CISD1	0.144	0.7965945
POM121L2	0.152	0.7966249
SH3BP5L	-0.142	0.7966394
ACTC1	0.196	0.7967277
LOC100131496	-0.461	0.7968263
IGFBP7-AS1	0.157	0.7970335
PTPRU	-0.153	0.7971392
BORA	0.164	0.7972618
STARD13	0.183	0.7975565
SLC25A3	0.348	0.7976072
C2ORF27A	-0.285	0.7976162
LOC100653005	0.174	0.7976805
SLC6A18	-0.303	0.797701
APEX2	-0.2	0.797808
KLC2	-0.183	0.7978275
CPNE2	0.156	0.7978663
CHMP1A	-0.128	0.7980105
HARBI1	-0.131	0.7980439
POLR2D	-0.173	0.798169
ATPAF1	-0.127	0.79844
PTGES3L	-0.444	0.7985767
TUBA1C	-0.168	0.7986011
FERMT2	-0.153	0.7986845
LINC00221	-0.57	0.7987262
BCL7C	-0.133	0.7987556
NEO1	0.143	0.7987654
CADPS2	-0.448	0.7987718
FCER2	-0.138	0.7988429
KLRG1	-0.239	0.7988505
AP4M1	0.166	0.7990412
PHF23	0.171	0.7993567
TOR1A	-0.369	0.7995888
PPP1R12A	0.158	0.7996029
LOC101927416	-0.499	0.7996251
LOC151484	0.373	0.7996946
KCNA3	0.175	0.8000903
PDCD4-AS1	0.184	0.8003046
DCAF12L2	-0.137	0.8003242
ATP13A2	0.155	0.8005477
TMEM114	-0.139	0.8005525
MAGEB2	0.19	0.8007893
RPL34	0.128	0.8008468
NEUROG2	0.196	0.8008537
CASP1	0.266	0.8008801
SNHG18	-0.448	0.8009289
ACACA	-0.142	0.8009335
TPSD1	0.165	0.8009556
MIOX	0.271	0.8010659
FRY-AS1	-0.378	0.8011377
ZFP37	0.177	0.8011803
MRFAP1	0.128	0.8011806
PALB2	-0.131	0.8011827
SMS	0.143	0.801191
FOPNL	0.138	0.8012308
LINC00868	0.16	0.8013179
LOC101927503	0.242	0.8013745
LOC101929517	-0.619	0.8013887
ATP5J	0.125	0.8015976
SFTA1P	0.289	0.8017255
MFN2	-0.131	0.8017288
PZP	0.221	0.8017448
KIF2B	-0.254	0.8017582
RNF149	-0.122	0.8017756
TAS2R16	0.467	0.8018477
S1PR1	-0.123	0.801904
NUBP2	0.144	0.8019414
LINC00515	-0.122	0.801942
ANKRD33B	0.138	0.8020277
TMEM74B	0.13	0.802046
C3ORF56	-0.169	0.8021504
SOD1	0.129	0.8021558
RTCB	-0.136	0.8022028
SRPX	-0.127	0.8022375
KRTAP4-9	-0.261	0.8022736
USMG5	-0.123	0.8023717
TTC9	-0.26	0.8024672
XRCC6	-0.122	0.8027528
RABGGTA	0.134	0.8028152
ZNF219	0.137	0.8028409
ZNF766	-0.153	0.8029837
LIN28B-AS1	-0.191	0.8030011
LOC388780	-0.22	0.8031135
ZNF484	0.317	0.8032625
LOC101929181	0.311	0.8033787
KCNK13	-0.122	0.8034975
RNF112	-0.233	0.8036157
SNHG24	-0.127	0.803928
FLJ38773	-0.133	0.8039364
LRRC3B	-0.263	0.8039401
HIBCH	0.136	0.8039836
BATF	0.145	0.8040171
ECM1	0.137	0.8040204
MARK3	0.124	0.8040853
MRPL54	0.131	0.8041492
CHRM2	-0.46	0.8042061
OR10J1	-0.279	0.8043381
FAM151A	0.232	0.8044304
ACAD8	0.121	0.8046046
NSMCE3	0.139	0.8046183
LOC100506922	-0.134	0.8046402
HMGXB3	0.15	0.804658
TRIM28	0.133	0.8046711
LOC101928583	0.304	0.8048246
MRFAP1L1	0.127	0.8048989
ZNF564	-0.128	0.8049014
SUN1	0.174	0.8050939
CYP27A1	0.163	0.8051759
LOC101927071	-0.447	0.8052617
CCR9	-0.22	0.8052724
OR1D2	0.121	0.8053364
CAT	-0.133	0.805373
CD3G	0.399	0.8053864
LOC149351	-0.55	0.8055831
SYNM	-0.16	0.8057369
FJX1	-0.164	0.805818
NORAD	-0.121	0.8059332
XYLT1	-0.292	0.8059824
MAMSTR	0.13	0.8059941
AHR	-0.259	0.8062606
BHLHE23	-0.324	0.806281
JMJD1C-AS1	0.175	0.8063052
ANP32D	-0.336	0.8063446
LINC01616	-0.267	0.8065405
TTLL1	-0.142	0.8065871
MCM6	-0.444	0.8066372
LPL	0.169	0.8066593
CACFD1	0.136	0.8067015
ZC3H12D	0.153	0.8067377
C17ORF53	-0.248	0.8067938
ITGA7	-0.198	0.8068097
PRDM13	-0.337	0.8069337
CDKN1B	0.123	0.8069518
LOC101928881	0.465	0.8070369
IQCF2	0.47	0.8070974
PHOSPHO1	-0.446	0.8072514
LCLAT1	-0.125	0.8073604
SLC16A6	-0.241	0.8074221
SNRPE	0.125	0.8074334
UQCC2	0.155	0.8074346
RNF165	-0.206	0.8075572
GPR146	-0.175	0.8075865
LINC00887	0.478	0.8076083
IRX1	-0.168	0.8076207
SECTM1	-0.442	0.8076554
BCAS1	0.193	0.8078531
TNFRSF1A	-0.143	0.8078838
IYD	-0.599	0.8078992
C8ORF37	0.136	0.8079632
STAB2	0.181	0.8079809
RAP2C	-0.133	0.8079821
ZNF623	-0.136	0.8081247
MSH6	0.127	0.8081359
ACADVL	0.147	0.8081768
STRADB	-0.153	0.808194
CACNA1S	0.35	0.8082653
VIMP	0.126	0.8082811
NBEAL1	0.118	0.8083074
KDM5C	-0.244	0.8083185
LOC102723684	-0.438	0.8084049
C8ORF82	-0.238	0.8084077
TRIM35	-0.16	0.8084411
PPP1R8	-0.124	0.8084535
LOC149401	-0.158	0.8085045
GIPC1	-0.126	0.8085216
FAM71F2	-0.16	0.8085512
SMAP2	-0.159	0.8086072
DPH7	-0.182	0.8089253
EIF2A	0.142	0.8089379
LINC00708	-0.372	0.8089757
FBXL12	-0.283	0.8090602
SEMA3B	0.136	0.8091021
KRT25	-0.488	0.8091566
C7ORF13	-0.151	0.8094214
APOBEC1	-0.278	0.8094616
ARHGDIG	-0.169	0.8095933
GLTSCR1	-0.13	0.8096735
CES2	-0.135	0.8096873
DSCAM-AS1	-0.186	0.8098322
TRIT1	0.119	0.8099331
RYR1	-0.26	0.8100562
FIRRE	0.533	0.8100573
INPP1	0.133	0.8101198
GSN-AS1	-0.167	0.8101257
ZMYND19	0.133	0.8103047
POU4F2	-0.131	0.8103342
LINC00853	-0.481	0.8103785
GNPDA1	0.125	0.8104028
LOC81787	-0.185	0.8104408
LENG9	0.162	0.810514
LOC100130705	-0.333	0.8106567
THOC1	0.121	0.8108945
HSPA2	-0.159	0.8109235
PRKCQ-AS1	-0.177	0.8110081
SYT3	0.19	0.8110133
GNA14-AS1	0.161	0.811282
KBTBD4	0.143	0.8113033
D21S2090E	0.132	0.8113311
PMVK	-0.122	0.8113811
RDH16	-0.262	0.8114757
C1ORF198	0.174	0.8116993
CER1	-0.134	0.8117691
TSNAX	0.121	0.8118109
DMTF1	-0.116	0.8118431
PC	0.119	0.8121039
CCDC84	-0.143	0.8121446
C1ORF159	0.27	0.8121481
SCART1	-0.308	0.812412
HOXC4	-0.233	0.8125276
NAP1L5	0.133	0.8125713
LOC100506016	-0.203	0.812966
SIDT1	-0.159	0.8130507
C22ORF24	-0.224	0.8131058
ASRGL1	0.183	0.81338
GOLGA7B	-0.21	0.813684
SPRR2G	0.178	0.8136882
DLEU7	0.168	0.8137725
LPAR4	-0.189	0.8141822
VDAC3	0.174	0.8142281
CORO7	0.114	0.8143112
PHYHIPL	0.17	0.8143695
PTPN13	-0.237	0.8144387
C3ORF49	-0.126	0.8144425
PNKP	-0.123	0.8144537
C19ORF47	0.126	0.814599
CHCHD7	-0.135	0.8146527
LOC100272216	-0.23	0.8146746
LOC254028	0.232	0.8148889
COX6C	0.119	0.814923
ZNF212	-0.148	0.8149507
KLHL24	-0.161	0.814958
ARL8A	0.114	0.815084
TRIP13	-0.157	0.8152175
FOXE3	0.231	0.8153408
RBM12B-AS1	0.126	0.8156996
LOC101928666	0.129	0.8158926
PLEKHM2	0.128	0.8159133
TAP1	0.15	0.8159224
LOC100996542	0.189	0.8159697
LOC101928739	-0.43	0.8161225
JUNB	0.181	0.8161398
DENND6A	-0.117	0.8161807
LINC00638	0.223	0.816268
TMEM14C	-0.114	0.8164055
CNIH2	-0.4	0.8164858
VIPR1	-0.237	0.8165739
NDUFA1	-0.121	0.8168132
FAM50A	0.116	0.8169121
IQCJ-SCHIP1-AS1	-0.163	0.8169226
ASF1B	0.329	0.8169868
HEXB	-0.127	0.8171819
OR7A10	0.294	0.8173316
PRPSAP2	0.126	0.817345
IPO4	-0.121	0.8173635
NDRG1	-0.161	0.8174333
TGFBI	-0.369	0.8174646
LOC101927552	-0.153	0.8175836
SH2D3A	-0.301	0.8176515
PSD	0.198	0.8177039
ADRA2A	0.49	0.8178619
COX7A1	0.147	0.8178762
LRRIQ1	-0.313	0.8179082
LOC105374325	-0.302	0.8180274
MRPL19	0.197	0.8180324
CX3CL1	0.121	0.8180602
CDPF1	-0.168	0.8180826
SLC36A1	0.194	0.8182308
RPP38	0.116	0.8183129
LOC105376805	-0.15	0.8183366
ANK1	0.176	0.8184255
TRPM2	-0.114	0.818428
CTH	0.227	0.818438
ARF5	-0.112	0.8184694
TIMM50	-0.125	0.8185029
PSG7	0.265	0.8186363
LRIG3	-0.165	0.818745
EFHC2	-0.42	0.8187772
SHKBP1	-0.165	0.8187957
DROSHA	0.116	0.8188946
LEMD3	0.121	0.8190631
ETHE1	-0.12	0.8190645
RGMB-AS1	-0.282	0.8192945
NDUFA4	-0.124	0.8193129
SLC7A7	-0.193	0.8194601
MTMR3	0.112	0.8196498
CEP192	0.131	0.8198441
IL3	0.419	0.8198546
PYROXD2	0.148	0.8198726
LOC100507516	0.49	0.8199542
LOC105370697	-0.304	0.8200579
LOC101927943	0.309	0.8201888
GTF2F2	-0.148	0.820205
PRO1082	-0.117	0.8203124
RPL22	-0.114	0.8203339
FLJ38576	-0.26	0.8203937
LOC100289058	0.138	0.8205764
BRD1	-0.14	0.8206759
TPRG1L	-0.117	0.8207829
FAM89B	0.158	0.8207997
DENND1C	-0.125	0.8209154
HIST1H2APS5	0.296	0.820946
CAPN14	0.409	0.8210568
LRP2	-0.151	0.8211602
FNDC10	-0.148	0.8211783
GAA	-0.13	0.8212736
AOC2	0.141	0.8212759
ZSWIM2	0.47	0.8213337
CLPS	-0.23	0.8214993
LOC105370549	0.472	0.8215996
TMEM216	0.146	0.8216699
LOC441052	-0.322	0.8217536
ARL6IP5	0.116	0.821916
FASTKD3	0.123	0.8219752
PAK4	-0.114	0.821981
IFNA5	-0.428	0.8220279
VWA7	-0.365	0.8220427
KRT18	0.37	0.8224602
TPRKB	0.117	0.8225758
NME6	-0.137	0.8225854
E2F3	-0.115	0.8226824
LOC100147773	0.142	0.8227378
DCTN1	-0.11	0.8227666
RAI2	-0.131	0.8227784
TMSB15B	-0.3	0.8231194
SCD	0.169	0.8233241
SHPRH	0.17	0.8234423
FOXF1	0.109	0.8234574
PALM2	-0.204	0.8234979
LOC101927877	-0.307	0.823504
SREBF1	0.309	0.8236514
TMED2	-0.11	0.8236779
PRKAR1B	-0.122	0.8237031
TFPT	-0.134	0.823819
TMEM192	0.11	0.8238304
STARD9	0.111	0.8239038
RABGEF1	-0.177	0.8239468
ALDH1L1	-0.156	0.8240216
LOC101930081	-0.21	0.8240347
NPDC1	-0.116	0.8241138
GMFG	-0.161	0.8241262
CYP27C1	-0.165	0.824282
USP10	0.122	0.8242847
TSTD1	-0.431	0.8243818
LOC101928505	0.205	0.8245645
GLI1	0.157	0.8248438
DDX4	0.182	0.8248997
NMB	0.237	0.8249574
POM121	0.224	0.8251078
LOC101929279	-0.152	0.8251244
CDRT15L2	0.174	0.8252875
NKX1-1	-0.23	0.8253277
LOC105373434	-0.192	0.8253826
IFNE	-0.563	0.8253925
GAR1	-0.117	0.8254265
PEX12	0.113	0.8254913
TRIM23	0.129	0.8255089
ZNF354C	0.133	0.8255443
OIP5	0.289	0.8255905
ZDHHC23	-0.154	0.8256385
SEC31A	0.128	0.8256933
RHOXF1	0.143	0.8257227
CALML5	-0.165	0.8257976
SHROOM2	0.126	0.8258207
MRAS	-0.176	0.825928
GSPT2	-0.146	0.8259668
C1ORF158	0.21	0.8261114
PCSK9	0.206	0.8261287
LOC100506351	-0.143	0.8262071
CEACAM8	-0.136	0.8262392
ITPKB-IT1	0.358	0.8263304
PNPLA3	-0.323	0.826338
RHOBTB1	-0.12	0.826418
APPL1	0.136	0.8264489
JUP	-0.134	0.8265665
FMO6P	0.221	0.8266775
SETX	-0.111	0.8267521
ACBD4	0.113	0.8267901
CITED4	-0.137	0.8268119
PNPLA8	0.117	0.8268606
CMC1	-0.11	0.8270298
BCS1L	-0.106	0.8273531
CITED2	0.307	0.827366
LINC01206	-0.495	0.8273989
RGSL1	0.118	0.8274396
TMEM140	-0.258	0.8275316
GXYLT1	-0.117	0.8280159
GK3P	0.135	0.8280518
GUSBP5	-0.112	0.8280655
RNF133	-0.138	0.8280971
BAAT	0.153	0.8281207
CDYL	0.152	0.828163
ZBTB4	-0.108	0.8281631
LTB4R2	-0.134	0.82818
LINC01231	0.126	0.8282467
NUS1	0.119	0.8282976
SIGLEC5	0.121	0.8284705
PAQR4	0.129	0.8284849
RMDN3	-0.106	0.8286146
SCOC	-0.121	0.8286749
DHX29	0.116	0.8287136
LOC105375483	-0.152	0.8288338
KIAA1191	-0.108	0.8290328
USP21	-0.133	0.8290937
TEFM	0.11	0.8291175
RALYL	0.231	0.8293063
CDC42-IT1	-0.114	0.8293342
LOC157931	0.492	0.8294008
LINC00933	-0.443	0.8295606
CDH20	0.193	0.8295908
SLC7A6OS	0.134	0.829684
ERCC6	-0.124	0.82995
GDAP1L1	0.28	0.8300291
TPMT	0.297	0.8303343
SYTL5	-0.256	0.8304202
ERCC6L	-0.337	0.8304665
PKN1	0.128	0.8305037
PIEZO1	-0.351	0.8305277
COX7A2L	-0.107	0.8305351
PPP2R1A	-0.106	0.8305479
FREM1	0.215	0.8305888
MADCAM1	-0.135	0.8307171
CFAP161	0.373	0.8307448
C7ORF71	-0.513	0.8308506
LOC728061	0.138	0.8310235
TMEM160	0.107	0.8311225
PSMB5	0.106	0.8311258
MAP4K3	0.128	0.8314548
NANOS1	0.116	0.8314562
GUCD1	0.122	0.831499
SLC22A24	-0.126	0.8318629
LY6G6E	0.343	0.8318721
FKBP1B	0.172	0.8319221
LOC101927069	0.349	0.8319351
ADGRG1	-0.178	0.8319618
PFAS	-0.111	0.8319951
AEN	0.123	0.8320351
RPUSD4	0.116	0.8321499
SMG1P5	-0.15	0.8321577
DDX24	-0.105	0.8322617
OR7D2	-0.225	0.8323266
NEBL-AS1	-0.213	0.8324201
RNF166	-0.121	0.8325827
HIST1H2AL	0.163	0.8325984
PIP5K1B	-0.233	0.8326506
LOC101928661	-0.157	0.8326577
BIK	-0.259	0.8326707
ATXN8OS	0.125	0.8327323
CCDC182	0.104	0.8330115
ALDH3A1	-0.14	0.8330175
CYP4F22	0.155	0.833103
FNDC7	-0.248	0.8331793
NIFK-AS1	0.131	0.8331811
LOC643072	0.116	0.8332815
USO1	0.11	0.8332903
KLRA1P	0.323	0.8333996
SPRR1B	0.291	0.833567
ZNF385D	-0.173	0.833593
GPATCH3	-0.113	0.8336021
PRR7	0.306	0.83364
GTF2I	-0.105	0.8336899
ZNF491	-0.136	0.83372
ADAM2	0.391	0.8337394
LINC00348	0.28	0.8337975
PDE6C	0.189	0.8339207
LOC101929177	-0.104	0.8342491
PUS1	0.145	0.8342802
CAMTA2	0.104	0.8343179
SYT8	-0.168	0.8343311
LOC100420758	0.108	0.8343875
CLCN6	0.109	0.8345521
TMEM79	0.163	0.8345756
KCNK12	-0.227	0.8348324
WDR45	0.103	0.8350069
OPTC	-0.233	0.8350911
INSRR	0.319	0.8352299
CNNM3	0.152	0.835303
FAHD1	0.148	0.8354111
TSR1	0.107	0.8358604
FAM114A1	-0.147	0.8358779
ABCA5	-0.12	0.8361893
SNRPB	0.133	0.8361901
FXYD6	0.179	0.8362808
LOC440434	0.116	0.8363996
MRPS35	-0.102	0.8366324
LOC100996251	-0.107	0.8366449
GNG10	-0.119	0.8366775
LAMB2P1	-0.15	0.8367064
NEURL3	-0.227	0.8370796
ZHX2	0.118	0.8370866
PSMD14	-0.101	0.8371202
AKR1B10	0.115	0.8371351
DIRC3	0.163	0.8372139
CBLN1	0.482	0.8373131
DPEP3	-0.21	0.8373614
RPS7	0.105	0.8374003
VPS37B	-0.134	0.8375434
KLHDC3	0.145	0.8375462
GRAMD1C	-0.147	0.8375821
C2ORF73	-0.194	0.8376107
FBXL22	-0.12	0.8377026
SRA1	-0.114	0.8377062
PPP1R16A	0.108	0.8377552
SHISA7	-0.125	0.8377834
SPSB4	-0.119	0.8378253
CA7	-0.285	0.8378744
CTDP1	0.114	0.8378962
WFDC10A	-0.235	0.8379299
PTPMT1	0.105	0.8381175
MAGI2-IT1	0.126	0.8383849
LOC441601	-0.313	0.8384997
GHRLOS	0.183	0.8385283
ENTPD1-AS1	0.0999	0.8386907
CCL23	-0.216	0.8386946
CPAMD8	-0.205	0.838716
LOC101928009	-0.17	0.8388063
RGS2	0.131	0.8388128
KIAA1143	-0.145	0.8389221
LINC00567	0.341	0.8389518
ATP5G3	0.105	0.8389707
SLC35A1	0.123	0.839018
NUP62	0.116	0.8391019
LDHAL6A	0.171	0.8391379
SLC35F1	0.125	0.8391869
HYOU1	-0.135	0.8392323
LOC101928844	-0.105	0.8392628
STT3B	-0.101	0.8393729
TRAV8-3	0.127	0.8394514
DHDDS	0.103	0.839461
LINC01116	-0.113	0.8395081
LINC01121	-0.184	0.8395526
C10ORF62	-0.271	0.8397143
CENPB	0.119	0.8400446
TNFSF18	0.109	0.8401097
LRRC42	-0.105	0.840206
C1ORF111	0.125	0.8402082
PPP1R35	-0.118	0.8402204
PNPO	0.114	0.8402267
PSMB6	0.108	0.8402509
NIP7	-0.121	0.8402992
HACE1	0.107	0.8403144
PRIMA1	-0.134	0.8403183
METTL2B	0.1	0.8407604
ZNF469	-0.209	0.8407675
EXOSC5	-0.156	0.8408561
P4HTM	0.104	0.8408961
DYNLT3	-0.107	0.8409717
TAB1	0.115	0.8413421
WDR83OS	-0.0978	0.8414232
IFIT5	-0.11	0.841709
HCRTR1	-0.151	0.8418657
LOC101928144	-0.194	0.8419029
ZNF133	-0.102	0.8419312
LOC101927098	-0.207	0.8419718
SLITRK3	0.0979	0.8420896
PLAC1	0.173	0.8421971
CSDC2	-0.142	0.8423058
SHANK2-AS3	-0.302	0.8425562
RLN1	-0.191	0.842567
LOC100507194	-0.386	0.8426454
PNMA3	-0.181	0.842773
LINC00202-2	-0.192	0.8427927
VPS26B	0.116	0.8430686
LINC00284	-0.106	0.8430857
SLC50A1	-0.188	0.8430956
SLC52A1	0.353	0.8431622
BCORP1	0.122	0.8431678
HOXC13	0.149	0.8431682
LOC101060424	-0.265	0.8432721
ASB16	-0.141	0.8434464
LOC102724511	-0.434	0.8434548
NCOA4	0.113	0.8434609
FOXN3-AS2	-0.241	0.8436862
BNC1	0.322	0.8436889
SETD1B	-0.123	0.8440162
ZNF622	0.104	0.8440986
MUL1	0.103	0.8441791
C3ORF80	-0.616	0.8442112
DOC2A	-0.298	0.8442174
LOC100128185	-0.0992	0.8443087
MRPS16	0.102	0.8443793
TMEM184C	0.0976	0.8444
AKT1	-0.0961	0.8444777
TAAR2	0.272	0.8445569
CCDC83	-0.376	0.8445663
CSN3	-0.168	0.8447262
RIC3	-0.131	0.8447319
NCKAP5	-0.187	0.8447348
HIST1H3C	0.176	0.8447541
MIR133A1HG	0.278	0.8447725
GSG1L	-0.113	0.8451682
ZNF426	0.117	0.8453864
STK32B	0.188	0.8454511
TSSC1	-0.0974	0.8454799
TK1	0.294	0.8455424
SLC25A1	0.154	0.8456157
P3H3	0.129	0.8457436
TAAR9	-0.387	0.8461172
CECR7	0.314	0.8462114
FAF2	-0.11	0.8464775
LOC105374768	-0.405	0.8466096
ZFAND6	0.0941	0.8469218
RPS6KA3	0.123	0.8470006
MESDC1	0.103	0.8470434
ZNF792	0.158	0.8471856
METTL23	-0.12	0.8474459
LOC100506083	-0.109	0.8474559
ACTR5	0.123	0.847515
LOC105372793	0.348	0.8475676
LOC101927157	-0.105	0.8476481
FAM174A	-0.0948	0.8478456
NEK4	-0.328	0.8478659
LL22NC03-63E9.3	-0.316	0.8479021
SOX8	-0.113	0.8479181
VRTN	-0.2	0.8479563
SHCBP1L	-0.136	0.8480815
LINC01082	-0.125	0.8481325
NOP2	0.112	0.8485727
CD33	0.23	0.8486577
LOC105379362	-0.134	0.8486952
LOC101926975	-0.272	0.8487878
HTN1	-0.332	0.8488542
GGT6	-0.287	0.8488702
IQCF6	0.132	0.8489416
CREB3	-0.0929	0.8490426
USP54	0.108	0.8491281
UQCRC1	0.0975	0.8491325
HCK	-0.255	0.8491555
MVD	0.115	0.8493944
ARPC4	-0.098	0.8494034
FYTTD1	0.107	0.8494858
LOC101926916	0.102	0.8496162
ANO5	-0.103	0.8496836
CDC37	0.0947	0.8496997
CECR5	0.0993	0.8498463
EFNB2	0.108	0.8500742
MCM8-AS1	-0.217	0.8501302
SASS6	0.109	0.8502014
RNF103	-0.224	0.8502357
PCDH17	0.0974	0.8503465
POC1B	-0.146	0.8503996
GJA8	-0.109	0.8505054
GNAI1	-0.115	0.8506147
SLC26A4	-0.246	0.8507931
OR9A1P	-0.224	0.8509461
PRKD1	-0.127	0.8510041
FMO2	-0.112	0.8510062
NMD3	-0.102	0.8510205
PTPRCAP	0.249	0.8510249
DDX19B	-0.114	0.8512398
RGS9	0.0922	0.8512952
VBP1	0.0935	0.8514015
HLX	0.207	0.8514506
PLA2G7	0.191	0.8515584
TLR8	0.14	0.8515739
