gene,uniprot,ratio_PD_vs_control,significant,log2fc
DUSP23,Q9BVJ7,0.9,False,-0.152
DUT,P33316,1.13,False,0.1763
DYNC1H1,Q14204,0.99,False,-0.0145
DYNC1I1,O14576,0.93,False,-0.1047
DYNC1I2,Q13409,1.01,False,0.0144
DYNC1LI1,Q9Y6G9,0.93,False,-0.1047
DYNC1LI2,O43237,1.08,False,0.111
DYNLL1,P63167,1.11,False,0.1506
DYNLL2,Q96FJ2,0.94,False,-0.0893
DYNLRB1,Q9NP97,0.98,False,-0.0291
ECH1,Q13011,0.93,False,-0.1047
ECHS1,P30084,0.96,False,-0.0589
EDIL3,O43854,1.03,False,0.0426
EEA1,Q15075,0.91,False,-0.1361
EEF1A1,P68104,1.28,True,0.3561
EEF1A2,Q05639,0.73,True,-0.454
EEF1B2,P24534,0.8,True,-0.3219
EEF1G,P26641,0.78,True,-0.3585
EEF2,P13639,0.92,False,-0.1203
EFHD2,Q96C19,1.07,False,0.0976
EFR3B,Q9Y2G0,0.97,False,-0.0439
EGFR,P00533,1.07,False,0.0976
EHD1,Q9H4M9,0.95,False,-0.074
EHD3,Q9NZN3,0.99,False,-0.0145
EIF2S1,P05198,0.96,False,-0.0589
EIF3A,Q14152,0.88,False,-0.1844
EIF3B,P55884,0.94,False,-0.0893
EIF3K,Q9UBQ5,0.9,False,-0.152
EIF4A1,P60842,0.92,False,-0.1203
EIF4A2,Q14240,0.92,False,-0.1203
EIF4B,P23588,1.11,True,0.1506
EIF4G2,P78344,0.96,False,-0.0589
EIF4H,Q15056,1.1,False,0.1375
EIF5,P55010,0.95,False,-0.074
EIF5A,P63241,1.08,False,0.111
EIF5B,O60841,1.06,False,0.0841
ELMO1,Q92556,1.07,False,0.0976
ELMOD1,Q8N336,1.03,False,0.0426
EML1,O00423,0.96,False,-0.0589
EML2,O95834,0.94,False,-0.0893
ENDOD1,O94919,1.04,False,0.0566
ENO1,P06733,1.08,False,0.111
ENO2,P09104,0.98,False,-0.0291
ENOPH1,Q9UHY7,1.06,False,0.0841
ENPP6,Q6UWR7,1.04,False,0.0566
ENSA,O43768,1.0,False,0.0
ENTPD2,Q9Y5L3,1.18,False,0.2388
EPB41,P11171,0.99,False,-0.0145
EPB41L1,Q9H4G0,1.0,False,0.0
EPB41L2,O43491,1.08,False,0.111
EPB41L3,Q9Y2J2,1.0,False,0.0
EPB49,Q08495,1.0,False,0.0
EPHB6,O15197,0.97,False,-0.0439
EPHX1,P07099,0.98,False,-0.0291
EPN1,Q9Y6I3,1.03,False,0.0426
EPN3,Q9H201,0.98,False,-0.0291
EPRS,P07814,0.86,False,-0.2176
EPS15L1,Q9UBC2,0.96,False,-0.0589
ERLIN2,O94905,0.99,False,-0.0145
ERMN,Q8TAM6,1.17,False,0.2265
ERO1L,Q96HE7,0.83,True,-0.2688
ERP29,P30040,0.74,True,-0.4344
ERP44,Q9BS26,0.86,False,-0.2176
ESD,P10768,1.21,True,0.275
ESYT1,Q9BSJ8,0.97,False,-0.0439
ETF1,P62495,0.99,False,-0.0145
ETFA,P13804,0.98,False,-0.0291
ETFB,P38117,0.99,False,-0.0145
ETFDH,Q16134,0.84,True,-0.2515
EXOC2,Q96KP1,0.93,False,-0.1047
EXOC4,Q96A65,0.89,True,-0.1681
EXOC7,Q9UPT5,1.0,False,0.0
EXOC8,Q8IYI6,0.95,False,-0.074
EZR,P15311,1.27,True,0.3448
FABP3,P05413,1.06,False,0.0841
FABP5,Q01469,1.11,True,0.1506
FAF2,Q96CS3,0.96,False,-0.0589
FAH,P16930,1.25,False,0.3219
FAHD2A,Q96GK7,1.09,False,0.1243
FAIM2,Q9BWQ8,1.03,False,0.0426
FAM127A,A6ZKI3,0.73,False,-0.454
FAM213A,Q9BRX8,0.98,False,-0.0291
FAM49A,Q9H0Q0,0.96,False,-0.0589
FAM49B,Q9NUQ9,1.0,False,0.0
FARP1,Q9Y4F1,1.14,False,0.189
FARSA,Q9Y285,0.58,False,-0.7859
FARSB,Q9NSD9,0.69,False,-0.5353
FASN,P49327,0.98,False,-0.0291
FBXL16,Q8N461,0.98,False,-0.0291
FBXO2,Q9UK22,0.9,False,-0.152
FDPS,P14324,1.06,False,0.0841
FDX1L,Q6P4F2,0.93,False,-0.1047
FECH,P22830,1.01,False,0.0144
FERMT2,Q96AC1,1.04,False,0.0566
FFR,Q9UID3,0.87,True,-0.2009
FGA,P02671,0.72,False,-0.4739
FGB,P02675,0.67,False,-0.5778
FGF1,P05230,1.25,True,0.3219
FGG,P02679,0.81,False,-0.304
FH,P07954,0.95,False,-0.074
FHL1,Q13642,1.23,False,0.2987
FIS1,Q9Y3D6,0.95,False,-0.074
FKBP2,P26885,0.97,False,-0.0439
FKBP4,Q02790,0.91,False,-0.1361
FLAD1,Q8NFF5,1.06,False,0.0841
FLNA,P21333,0.99,False,-0.0145
FLNB,O75369,1.12,False,0.1635
FLOT1,O75955,1.01,False,0.0144
FLOT2,Q14254,0.99,False,-0.0145
FMNL2,Q96PY5,1.11,True,0.1506
FN1,P02751,0.67,False,-0.5778
FN3K,Q9H479,1.02,False,0.0286
FN3KRP,Q9HA64,0.94,False,-0.0893
FNTB,P49356,1.18,False,0.2388
FOLR3,P41439,1.24,False,0.3103
FSCN1,Q16658,1.04,False,0.0566
FSD1,Q9BTV5,0.89,True,-0.1681
FTH1,P02794,1.37,False,0.4542
FTL,P02792,1.57,True,0.6508
FUK,Q8N0W3,1.03,False,0.0426
FYN,P06241,1.04,False,0.0566
G3BP1,Q13283,1.07,False,0.0976
G3BP2,Q9UN86,0.84,False,-0.2515
G6PD,P11413,1.08,False,0.111
GAA,P10253,0.97,False,-0.0439
GABARAPL2,P60520,0.98,False,-0.0291
GAD1,Q99259,1.15,False,0.2016
GAD2,Q05329,0.88,False,-0.1844
GALC,P54803,1.06,False,0.0841
GAMT,Q14353,1.03,False,0.0426
GANAB,Q14697,0.92,False,-0.1203
GAP43,P17677,0.91,False,-0.1361
GAPDH,P04406,1.08,False,0.111
GARS,P41250,0.94,False,-0.0893
GART,P22102,1.18,False,0.2388
